letter	frequency
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	6
37	10
38	7
39	0
40	0
41	0
42	0
43	0
44	12
45	44
46	80
47	122
48	192
49	284
50	390
51	515
52	680
53	936
54	1023
55	1023
56	1023
57	1023
58	1023
59	1023
60	1023
61	1023
62	1023
63	1023
64	1023
65	1023
66	1023
67	1023
68	1023
69	1023
70	1023
71	1023
72	1023
73	1023
74	1023
75	1023
76	1023
77	1023
78	1023
79	1023
80	1023
81	1023
82	1023
83	735
84	426
85	228
86	78
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	34
108	62
109	67
110	24
111	9
112	2
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	1
190	8
191	18
192	36
193	54
194	68
195	85
196	95
197	90
198	78
199	65
200	56
201	61
202	71
203	82
204	91
205	104
206	125
207	150
208	174
209	204
210	242
211	310
212	447
213	714
214	1023
215	1023
216	1023
217	1023
218	1023
219	1023
220	1023
221	1023
222	1023
223	1023
224	1023
225	1023
226	1023
227	1023
228	1023
229	1023
230	1023
231	1023
232	1023
233	1023
234	1023
235	1023
236	1023
237	1023
238	1023
239	1023
240	1023
241	1023
242	1023
243	1013
244	705
245	412
246	194
247	26
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	3
267	50
268	71
269	52
270	37
271	21
272	3
273	0
274	0
275	0